,X axis
0,0.11970898432451982
1,0.1253249980804838
2,0.1454302821850333
3,0.14024701271050843
4,0.11940706840463489
5,0.14423576239051883
6,0.15775439875070152
7,0.1276510912159048
8,0.16175146778026162
9,0.14353288305272205
10,0.13425473303470237
11,0.11652617435073287
12,0.1321992545165971
13,0.13945260595597153
14,0.13525865007599136
15,0.15454051540172986
16,0.13079785516972775
17,0.1327353597348273
18,0.12569945058569276
19,0.1626434750854091
20,0.13024106641126765
21,0.1252314371512926
22,0.14323070462486576
23,0.13141250638317925
24,0.16408568974577697
25,0.14348131339444348
26,0.17578167475908857
27,0.17231502124516584
28,0.15179394865572626
29,0.13805365922085766
30,0.17180206240085538
31,0.1551168045659026
32,0.14119214406040403
33,0.16143824661858663
34,0.15614082075726543
35,0.17459231747634485
36,0.1783640357008771
37,0.16292523465588604
38,0.18813835927722078
39,0.20621304722650335
40,0.18861222487772178
41,0.22301772313453405
42,0.23609163488885154
43,0.22666325071082927
44,0.211648045098638
45,0.2526840893051874
46,0.24356905373678606
47,0.26960486768230485
48,0.2705332176609976
49,0.3649371038796314
50,0.41275885864803485
51,0.4446621546315239
52,0.5196784011237057
53,0.6035933144146324
54,0.6038747958180053
55,0.6167412703808313
56,0.611621995651894
57,0.6195065811094136
58,0.6466236171051272
59,0.6545015267696304
60,0.6626787092228084
61,0.6788284118665888
62,0.6639277628190452
63,0.6689775542761667
64,0.7094588804271489
65,0.7119208339431171
66,0.7302776150894115
67,0.7253019926822617
68,0.741406366049878
69,0.704042659813251
70,0.7538997511045571
71,0.7195498249370009
72,0.7269699520183581
73,0.7448567188409954
74,0.77440088070028
75,0.7813464836275852
76,0.7918542764411696
77,0.7650084250987219
78,0.7714270196768132
79,0.7935466309670676
80,0.7913446786558347
81,0.8159908715325925
82,0.8294272054454617
83,0.8447054657933846
84,0.8202607822562067
85,0.8472609848057913
86,0.8711418327570295
87,0.8341702788484813
88,0.8587254303940957
89,0.8688949028476682
90,0.8707484048620497
91,0.8997403602167613
92,0.8813479290960828
93,0.8965407047128222
94,0.9148061185135172
95,0.8877016909474658
96,0.8922765237095858
97,0.9071294959158958
98,0.9281264497842745
99,0.9242220684697353
100,0.9231392243943144
101,0.9318538561413319
102,0.9693096361244609
103,0.9640793285708484
104,0.9868557324121612
105,0.980217060677161
106,0.9907375291241884
107,0.9708065087721776
108,0.963586572183394
109,1.003972397847534
110,0.9920484621780881
111,1.023225237664745
112,1.0340899314874596
113,1.0432507813301821
114,1.0194319446343119
115,1.0385109739438987
116,1.0473870594024512
117,1.0448688313111074
118,1.0470699308520384
119,1.0806530357857842
120,1.0668863583189114
121,1.0862924131861422
122,1.0754549218878522
123,1.087272008766049
124,1.0917101322921037
125,1.0984587080892527
126,1.0941701995349706
127,1.1001856203649856
128,1.104415516130804
129,1.1486566421659619
130,1.1432201390596373
131,1.142263315991842
132,1.1194215478832403
133,1.1512709757956607
134,1.1627596251843595
135,1.154257052900505
136,1.163983012373653
137,1.169886338167782
138,1.1521044505654034
139,1.149971663558585
140,1.1820106113516646
141,1.1655155543521822
142,1.1534591156638696
143,1.1669230712004663
144,1.1672901256351362
145,1.1692926090788551
146,1.1607263454451207
147,1.15934061871582
148,1.159061827421058
149,1.1236710247428057
150,1.1562251036499676
151,1.1132815423361053
152,1.099052373889182
153,1.1067665025034612
154,1.0873063153172875
155,1.093503295098574
156,1.1162129697181433
157,1.1091733382625273
158,1.0677816253336443
159,1.084660009652142
160,1.0513566018505227
161,1.0750944571209649
162,1.0775553140626248
163,1.0350249644362706
164,1.0612228456268673
165,1.0154984271098721
166,1.015153606469631
167,1.0257508377280733
168,1.0241866231950219
169,1.02817258685423
170,1.0235269919910743
171,1.0206993994520983
172,0.9851647832934785
173,1.0042086735079054
174,0.9635114746773097
175,0.97254253683838
176,0.9683553533160703
177,0.9544549170548347
178,0.9560233121415049
179,0.9531113934297222
180,0.9251034116876071
181,0.9107844609473565
182,0.9164775889752836
183,0.9072213902348287
184,0.9289145524327242
185,0.9218771874191676
186,0.8955706881727452
187,0.9054190550910182
188,0.8820845025390152
189,0.9005621778491906
190,0.8895012078822551
191,0.8825524739982389
192,0.8667146640996568
193,0.9025167445624527
194,0.8813037940463218
195,0.8897011199902365
196,0.8988034203334931
197,0.9095434607128912
198,0.877619430079501
199,0.8797203509675113
200,0.9024999033820604
201,0.9074287536979007
202,0.8854696361273144
203,0.8902636752245396
204,0.8879367665092588
205,0.9132350341881881
206,0.8864968576562715
207,0.9061820085189003
208,0.87800725243973
209,0.8805525066727602
210,0.8865779700094529
211,0.8848265477102744
212,0.8687234688310124
213,0.8797318708699204
214,0.9154302941773198
215,0.8704378548875329
216,0.8803574349768768
217,0.8801474936289828
218,0.891269953097664
219,0.866779009653329
220,0.8871916566637899
221,0.885548438105868
222,0.8984945071733834
223,0.8995229142292256
224,0.9079585600297546
225,0.8870097721330377
226,0.8682738685799989
227,0.8740256281003536
228,0.8769427721779286
229,0.8874363828189522
230,0.8865943907856138
231,0.9153778745760832
232,0.9106800654203271
233,0.8861404499098409
234,0.8800642146607165
235,0.8915997651110865
236,0.9127146063722622
237,0.9404802619388835
238,0.928271937269491
239,0.9335130883379483
240,0.9148002674348563
241,0.94676762580269
242,0.9750357466369091
243,0.9807951471618577
244,0.9849219303621386
245,0.9598694412626234
246,0.9489015320025651
247,0.9633619747566688
248,1.0054698385738094
249,0.9962219722321819
250,0.9868018097516138
251,1.0202789367159137
252,1.0212727214279955
253,1.0298074240785333
254,1.0273543147105688
255,1.028042284813546
256,1.0241782696998623
257,0.9970880712837713
258,0.9890578717630414
259,1.0277831666099393
260,1.027012174609468
261,0.9919616488129399
262,1.0241227087024922
263,0.9994462362816134
264,1.0310618130894713
265,0.9911269922136079
266,1.01622876125813
267,1.035898501358697
268,1.0301737977758794
269,1.0002103145572383
270,1.0090841564099675
271,1.024489981712564
272,1.0036335903144857
273,1.015405805076216
274,0.9932052286721313
275,1.006199973068118
276,1.0056055686790668
277,1.024836430685182
278,1.033245630601909
279,1.026625264176267
280,1.0306844684293341
281,1.0322324598827828
282,1.0360758236444554
283,1.0367693994996714
284,1.0003187888535205
285,1.0132417652666434
286,1.0281316027700729
287,0.9923644139011347
288,1.0071480927026208
289,1.0171779241823906
290,1.016949777352114
291,1.01681864581234
292,1.0346213894229026
293,1.03032460545164
294,1.014311914352193
295,0.9882630628732614
296,1.0321718942699027
297,1.018736141919846
298,1.008404842762882
299,1.0073035939861044
300,1.0274645080317086
301,1.022704304189306
302,1.0207233798923545
303,1.0082641204389284
304,1.0323918683375168
305,1.0222675770508058
