timestamp,value,anomaly_score,label
2013-12-02 21:15:00,75.47253,0,0
2013-12-02 21:20:00,75.44702,0,0
2013-12-02 21:25:00,75.41546,0,0
2013-12-02 21:30:00,75.361206,0,0
2013-12-02 21:35:00,75.328804,0,0
2013-12-02 21:40:00,75.34572,0,0
2013-12-02 21:45:00,75.30298,1,0
2013-12-02 21:50:00,75.3029,1,0
2013-12-02 21:55:00,75.30068,1,0
2013-12-02 22:00:00,75.32451,0,0
2013-12-02 22:05:00,75.2888,1,0
2013-12-02 22:10:00,75.32392,0,0
2013-12-02 22:15:00,75.32957,0,0
2013-12-02 22:20:00,75.28826,1,0
2013-12-02 22:25:00,75.3,1,0
2013-12-02 22:30:00,75.2972,1,0
2013-12-02 22:35:00,75.271034,1,0
2013-12-02 22:40:00,75.27243,1,0
2013-12-02 22:45:00,75.263596,1,0
2013-12-02 22:50:00,75.30543,1,0
2013-12-02 22:55:00,75.26147,1,0
2013-12-02 23:00:00,75.27559,1,0
2013-12-02 23:05:00,75.30207,1,0
2013-12-02 23:10:00,75.27962,1,0
2013-12-02 23:15:00,75.262,1,0
2013-12-02 23:20:00,75.25513,1,0
2013-12-02 23:25:00,75.275635,1,0
2013-12-02 23:30:00,75.22362,1,0
2013-12-02 23:35:00,75.27594,1,0
2013-12-02 23:40:00,75.23436,1,0
2013-12-02 23:45:00,75.26269,1,0
2013-12-02 23:50:00,75.26717,1,0
2013-12-02 23:55:00,75.270706,1,0
2013-12-03 00:00:00,75.25754,1,0
2013-12-03 00:05:00,75.242226,1,0
2013-12-03 00:10:00,75.226166,1,0
2013-12-03 00:15:00,75.21673,1,0
2013-12-03 00:20:00,75.258125,1,0
2013-12-03 00:25:00,75.23026,1,0
2013-12-03 00:30:00,75.210594,1,0
2013-12-03 00:35:00,75.20546,1,0
2013-12-03 00:40:00,75.24631,1,0
2013-12-03 00:45:00,75.225494,1,0
2013-12-03 00:50:00,75.21953,1,0
2013-12-03 00:55:00,75.19595,1,0
2013-12-03 01:00:00,75.21153,1,0
2013-12-03 01:05:00,75.21313,1,0
2013-12-03 01:10:00,75.214676,1,0
2013-12-03 01:15:00,75.16502,1,0
2013-12-03 01:20:00,75.16041,1,0
2013-12-03 01:25:00,75.17962,1,0
2013-12-03 01:30:00,75.16161,1,0
2013-12-03 01:35:00,75.18879,1,0
2013-12-03 01:40:00,75.182915,1,0
2013-12-03 01:45:00,75.205185,1,0
2013-12-03 01:50:00,75.161736,1,0
2013-12-03 01:55:00,75.15883,1,0
2013-12-03 02:00:00,75.1672,1,0
2013-12-03 02:05:00,75.171,1,0
2013-12-03 02:10:00,75.157745,1,0
2013-12-03 02:15:00,75.17497,1,0
2013-12-03 02:20:00,75.17177,1,0
2013-12-03 02:25:00,75.13677,1,0
2013-12-03 02:30:00,75.13079,1,0
2013-12-03 02:35:00,75.13177,1,0
2013-12-03 02:40:00,75.12378,1,0
2013-12-03 02:45:00,75.13294,1,0
